390	0.0006
391	0.0008
392	0.0010
393	0.0012
394	0.0014
395	0.0017
396	0.0021
397	0.0026
398	0.0031
399	0.0038
400	0.0046
401	0.0055
402	0.0066
403	0.0080
404	0.0095
405	0.0113
406	0.0135
407	0.0159
408	0.0187
409	0.0218
410	0.0254
411	0.0293
412	0.0337
413	0.0386
414	0.0440
415	0.0500
416	0.0565
417	0.0637
418	0.0714
419	0.0796
420	0.0883
421	0.0973
422	0.1067
423	0.1165
424	0.1268
425	0.1379
426	0.1498
427	0.1626
428	0.1762
429	0.1904
430	0.2051
431	0.2201
432	0.2353
433	0.2510
434	0.2673
435	0.2843
436	0.3024
437	0.3213
438	0.3408
439	0.3605
440	0.3802
441	0.3993
442	0.4180
443	0.4366
444	0.4554
445	0.4749
446	0.4953
447	0.5166
448	0.5382
449	0.5598
450	0.5807
451	0.6005
452	0.6193
453	0.6372
454	0.6547
455	0.6720
456	0.6895
457	0.7070
458	0.7247
459	0.7425
460	0.7603
461	0.7780
462	0.7954
463	0.8123
464	0.8284
465	0.8435
466	0.8574
467	0.8702
468	0.8823
469	0.8939
470	0.9053
471	0.9169
472	0.9283
473	0.9395
474	0.9500
475	0.9596
476	0.9681
477	0.9755
478	0.9817
479	0.9870
480	0.9914
481	0.9949
482	0.9975
483	0.9993
484	1.0000
485	0.9997
486	0.9983
487	0.9960
488	0.9926
489	0.9884
490	0.9833
491	0.9774
492	0.9707
493	0.9632
494	0.9547
495	0.9452
496	0.9349
497	0.9236
498	0.9115
499	0.8988
500	0.8856
501	0.8718
502	0.8576
503	0.8430
504	0.8279
505	0.8124
506	0.7965
507	0.7803
508	0.7638
509	0.7469
510	0.7298
511	0.7124
512	0.6948
513	0.6770
514	0.6588
515	0.6405
516	0.6218
517	0.6030
518	0.5842
519	0.5653
520	0.5466
521	0.5280
522	0.5097
523	0.4916
524	0.4737
525	0.4561
526	0.4387
527	0.4217
528	0.4049
529	0.3884
530	0.3722
531	0.3563
532	0.3408
533	0.3256
534	0.3109
535	0.2966
536	0.2828
537	0.2695
538	0.2566
539	0.2442
540	0.2321
541	0.2205
542	0.2093
543	0.1985
544	0.1881
545	0.1781
546	0.1685
547	0.1594
548	0.1506
549	0.1422
550	0.1341
551	0.1265
552	0.1192
553	0.1122
554	0.1056
555	0.0992
556	0.0932
557	0.0875
558	0.0820
559	0.0769
560	0.0720
561	0.0674
562	0.0631
563	0.0590
564	0.0552
565	0.0516
566	0.0482
567	0.0450
568	0.0419
569	0.0391
570	0.0364
571	0.0339
572	0.0316
573	0.0294
574	0.0273
575	0.0254
576	0.0236
577	0.0219
578	0.0203
579	0.0189
580	0.0175
581	0.0162
582	0.0150
583	0.0139
584	0.0129
585	0.0119
586	0.0110
587	0.0102
588	0.0094
589	0.0087
590	0.0080
591	0.0074
592	0.0068
593	0.0063
594	0.0058
595	0.0054
596	0.0049
597	0.0045
598	0.0042
599	0.0038
600	0.0035
601	0.0033
602	0.0030
603	0.0028
604	0.0025
605	0.0023
606	0.0021
607	0.0020
608	0.0018
609	0.0017
610	0.0015
611	0.0014
612	0.0013
613	0.0012
614	0.0011
615	0.0010
616	0.0009
617	0.0008
618	0.0008
619	0.0007
620	0.0006
621	0.0006
622	0.0005
623	0.0005
624	0.0005
625	0.0004
626	0.0004
627	0.0004
628	0.0003
629	0.0003
630	0.0003
631	0.0003
632	0.0002
633	0.0002
634	0.0002
635	0.0002
636	0.0002
637	0.0002
638	0.0001
639	0.0001
640	0.0001
641	0.0001
642	0.0001
643	0.0001
644	0.0001
645	0.0001
646	0.0001
647	0.0001
648	0.0001
649	0.0001
650	0.0001
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0

