390	-0.93379	-1.0479	-0.13385
391	-0.92453	-1.03687	-0.126
392	-0.91588	-1.02614	-0.11762
393	-0.90794	-1.01587	-0.10885
394	-0.90087	-1.00622	-0.09984
395	-0.89477	-0.99737	-0.09075
396	-0.88978	-0.98946	-0.08174
397	-0.88603	-0.98268	-0.07298
398	-0.88364	-0.97719	-0.06463
399	-0.88274	-0.97314	-0.05688
400	-0.88346	-0.97071	-0.0499
401	-0.88581	-0.96995	-0.04383
402	-0.88934	-0.97044	-0.03856
403	-0.89352	-0.97167	-0.03391
404	-0.8978	-0.9731	-0.0297
405	-0.90163	-0.97422	-0.02576
406	-0.90464	-0.97461	-0.02194
407	-0.90709	-0.97432	-0.01828
408	-0.90942	-0.97353	-0.01489
409	-0.91205	-0.97241	-0.01185
410	-0.91541	-0.97112	-0.00926
411	-0.9198	-0.96979	-0.00719
412	-0.92494	-0.96835	-0.00556
413	-0.93043	-0.9667	-0.00428
414	-0.93587	-0.96472	-0.00326
415	-0.94085	-0.9623	-0.00238
416	-0.94504	-0.95933	-0.00158
417	-0.94846	-0.9557	-0.00088
418	-0.95118	-0.95132	-0.00035
419	-0.95329	-0.94607	-0.00005
420	-0.95489	-0.93984	-0.00003
421	-0.95603	-0.93261	-0.00035
422	-0.95681	-0.9246	-0.00103
423	-0.95728	-0.91612	-0.00209
424	-0.95751	-0.90747	-0.00357
425	-0.95756	-0.89896	-0.00547
426	-0.95748	-0.89079	-0.00783
427	-0.95717	-0.88277	-0.01066
428	-0.9565	-0.87457	-0.014
429	-0.95535	-0.8659	-0.01785
430	-0.95359	-0.85645	-0.02225
431	-0.95117	-0.84602	-0.02719
432	-0.94825	-0.83497	-0.03256
433	-0.94509	-0.82375	-0.03824
434	-0.94193	-0.81285	-0.04409
435	-0.93902	-0.80274	-0.05
436	-0.93653	-0.79377	-0.05588
437	-0.93429	-0.78568	-0.06182
438	-0.93207	-0.77807	-0.06794
439	-0.92964	-0.77054	-0.07434
440	-0.92675	-0.76267	-0.08115
441	-0.92322	-0.75415	-0.08843
442	-0.9191	-0.74505	-0.09609
443	-0.91447	-0.73552	-0.10401
444	-0.90942	-0.72574	-0.11205
445	-0.90407	-0.71587	-0.12009
446	-0.89847	-0.70605	-0.1281
447	-0.89263	-0.6963	-0.13639
448	-0.88652	-0.68663	-0.14534
449	-0.88013	-0.67704	-0.15533
450	-0.87342	-0.66754	-0.1667
451	-0.86638	-0.65809	-0.17968
452	-0.85893	-0.64854	-0.19393
453	-0.85102	-0.63871	-0.20899
454	-0.84256	-0.6284	-0.22443
455	-0.8335	-0.61743	-0.23983
456	-0.82379	-0.60566	-0.2549
457	-0.8135	-0.59325	-0.26972
458	-0.80273	-0.58041	-0.2845
459	-0.79157	-0.56735	-0.29941
460	-0.78013	-0.55431	-0.31463
461	-0.7685	-0.54148	-0.33033
462	-0.75673	-0.52888	-0.34667
463	-0.74488	-0.51649	-0.36383
464	-0.733	-0.50432	-0.38195
465	-0.72114	-0.49235	-0.40119
466	-0.70935	-0.48059	-0.42167
467	-0.69771	-0.46911	-0.44346
468	-0.68627	-0.45802	-0.46657
